"the messages of compassion and mercy are clearly , squarely and specifically expounded via computer animated old testament tale of jonah and the whale . determined to be fun , and bouncy , with energetic musicals , the humor didn't quite engage this adult . ",-
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints . ",+
the movie is like scorsese's mean streets redone by someone who ignored it in favor of old 'juvenile delinquent' paperbacks with titles like leather warriors and switchblade sexpot . ,-
"it's like rocky and bullwinkle on speed , but that's neither completely enlightening , nor does it catch the intensity of the movie's strangeness . ",+
an unclassifiably awful study in self- and audience-abuse . ,-
what could have been right at home as a nifty plot line in steven soderbergh's traffic fails to arrive at any satisfying destination . ,-
"sensual , funny and , in the end , very touching . ",+
"while there's something intrinsically funny about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has little else to offer",-
a meatballs for the bare-midriff generation . ,-
"replacing john carpenter's stylish tracking shots is degraded , handheld blair witch video-cam footage . of all the halloween's , this is the most visually unappealing . ",-
"it's hard to pity the 'plain' girl who becomes a ravishing waif after applying a smear of lip-gloss . rather , pity anyone who sees this mishmash . ",-
as giddy and whimsical and relevant today as it was 270 years ago . ,+
"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure . ",+
its appeal will probably limited to lds church members and undemanding armchair tourists . ,-
an involving true story of a chinese actor who takes up drugs and winds up in an institution--acted mostly by the actual people involved . ,+
"asks what truth can be discerned from non-firsthand experience , and specifically questions cinema's capability for recording truth . ",+
a live-wire film that never loses its ability to shock and amaze . ,+
we get some truly unique character studies and a cross-section of americana that hollywood couldn't possibly fictionalize and be believed . ,+
a dream cast of solid female talent who build a seamless ensemble . there isn't a weak or careless performance amongst them . ,+
wang xiaoshuai directs this intricately structured and well-realized drama that presents a fascinating glimpse of urban life and the class warfare that embroils two young men . ,+
it collapses when mr . taylor tries to shift the tone to a thriller's rush . ,-
"a recent favourite at sundance , this white-trash satire will inspire the affection of even those unlucky people who never owned a cassette of def leppard's pyromania . ",+
"[raimi's] matured quite a bit with spider-man , even though it's one of the most plain white toast comic book films you'll ever see . ",+
"the movie turns out to be [assayas'] homage to the gallic 'tradition of quality , ' in all its fusty squareness . ",-
this seductive tease of a thriller gets the job done . it's a scorcher . ,+
the komediant is a tale worth catching . ,+
you can practically smell the patchouli oil . ,-
"a muckraking job , the cinematic equivalent of a legal indictment , and a fairly effective one at that . ",+
when it really counts . . . bloody sunday connects on a visceral level that transcends language . ,+
"if the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build-up of expository material . ",+
"like a comedian who starts off promisingly but then proceeds to flop , comedian runs out of steam after a half hour . ",-
"[haynes'] homage to such films as "" all that heaven allows "" and "" imitation of life "" transcends them . simply put , "" far from heaven "" is a masterpiece . ",+
"a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains . . . crossroads is never much worse than bland or better than inconsequential . ",-
"adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . but what are adults doing in the theater at all ? ",-
it appears to have been modeled on the worst revenge-of-the-nerds clichés the filmmakers could dredge up . ,-
"birot creates a drama with such a well-defined sense of place and age -- as in , 15 years old -- that the torments and angst become almost as operatic to us as they are to her characters . ",+
"it's tough , astringent , darkly funny and . . . well , it's also generic , untidy , condescending and mild of impact rather than stunning . ",-
has all the complexity and realistic human behavior of an episode of general hospital . ,-
we've liked klein's other work but rollerball left us cold . ,-
 . . . too gory to be a comedy and too silly to be an effective horror film . ,-
"a low-budget affair , tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction . then again , in a better movie , you might not have noticed . ",-
poignant if familiar story of a young person suspended between two cultures . ,+
"the film brilliantly shines on all the characters , as the direction is intelligently accomplished . ",+
"the level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter . ",+
"while howard's appreciation of brown and his writing is clearly well-meaning and sincere , the movie would be impossible to sit through were it not for the supporting cast . ",-
"though it draws several decent laughs , it's low-cal woody at best . ",-
a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them . ,+
"for all its surface frenzy , high crimes should be charged with loitering -- so much on view , so little to offer . ",-
there is a difference between movies with the courage to go over the top and movies that don't care about being stupid,-
"while glover , the irrepressible eccentric of river's edge , dead man and back to the future , is perfect casting for the role , he represents bartleby's main overall flaw . ",-
 . . . a thoughtful what-if for the heart as well as the mind . ,+
"this is an exercise in chilling style , and twohy films the sub , inside and out , with an eye on preserving a sense of mystery . ",+
press the delete key . ,-
the entire cast is extraordinarily good . ,+
"a combination of standard , stiff tv-style animation and snazzy-looking digital effects that do little to disguise the fact that the characters barely move . ",-
spy-vs . -spy action flick with antonio banderas and lucy liu never comes together . ,-
"the bodily function jokes are about what you'd expect , but there are rich veins of funny stuff in this movie . ",+
"the actors are appealing , but elysian fields is idiotic and absurdly sentimental . ",-
a didactic and dull documentary glorifying software anarchy . ,-
"a fast , funny , highly enjoyable movie . ",+
offers that rare combination of entertainment and education . ,+
"like a veteran head cutter , barbershop is tuned in to its community . ",+
"[director peter] jackson and his crew have so steeped themselves in the majesty of tolkien's writing that every frame produces new joys , whether you're a fan of the books or not . ",+
a giddy and provocative sexual romp that has something to say . ,+
"will only satisfy those who can't tell the difference between the good , the bad and the ugly . ",-
"for a movie about the power of poetry and passion , there is precious little of either . ",-
"to the film's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment . ",+
"occasionally , in the course of reviewing art-house obscurities and slam-bam action flicks , a jaded critic smacks into something truly new . ",+
